Community_Type,Description,Community,BPS_Area,EVT_Area,Delta,Percent_Change
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Great Lakes Coastal Marsh Systems,329144400,18558000,-310586400,94.36174518
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Boreal Acidic Peatland Systems,54705600,1728900,-52976700,96.83962885
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,2742462000,156875400,-2585586600,94.2797603
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Central Interior and Appalachian Riparian Systems,2352766500,179489700,-2173276800,92.3711214
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Appalachian (Hemlock-)Northern Hardwood Forest,7100622900,14624476200,7523853300,-105.9604686
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,242384400,293715900,51331500,-21.17772431
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,172161900,162811800,-9350100,5.430992572
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,North-Central Interior Wet Flatwoods,424965600,2316052,-422649548,99.45500248
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Laurentian-Acadian Swamp Systems,22997700,44938800,21941100,-95.40562752
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,58313700,15326100,-42987600,73.71783989
Pyrophobic,Fire-intolerant tree species dominant across all successional classes ,Laurentian-Acadian Northern Hardwoods Forest,26435029500,1885536900,-24549492600,92.867279
Pyrophytic,Fire-tolerant tree species dominant across most successional classes ,Central Appalachian Alkaline Glade and Woodland,39600,0,-39600,100
Pyrophytic,Fire-tolerant tree species dominant across most successional classes ,Central Appalachian Dry Oak-Pine Forest,2314012500,7847100,-2306165400,99.66088774
Pyrophytic,Fire-tolerant tree species dominant across most successional classes ,Laurentian-Acadian Northern Pine(-Oak) Forest,249632100,25163100,-224469000,89.91992616
Pyrophytic,Fire-tolerant tree species dominant across most successional classes ,Laurentian-Acadian Floodplain Systems,1240299000,389401200,-850897800,68.60424785
Pyrophytic,Fire-tolerant tree species dominant across most successional classes ,South-Central Interior Mesophytic Forest,4563900,0,-4563900,100
Pyrophytic,Fire-tolerant tree species dominant across most successional classes ,Central Interior and Appalachian Floodplain Systems,473553900,15555600,-457998300,96.71513633
Pyrophytic,Fire-tolerant tree species dominant across most successional classes ,Central Appalachian Pine-Oak Rocky Woodland,28133100,17440200,-10692900,38.00825362
